housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
40,880,223,582,380,24.425,1,118800
10,875,222,546,330,19,1,162500
10,105,84,125,39,24.305,1,137500
52,249,110,396,85,31.085,1,500001
16,994,243,800,362,52.345,1,162500
52,215,103,904,88,21.67,1,137500
52,96,82,191,34,18.75,1,162500
27,1055,254,718,302,65.885,1,187500
39,1715,373,1327,467,46.1925,1,179200
36,5329,1021,3469,2323,50.24,1,130000
31,4596,889,2048,1180,70.8625,1,183800
29,335,125,202,91,50.155,1,125000
22,3682,725,2024,1250,30.4625,1,170000
37,3633,717,1838,980,65.26,1,193100
29,4656,900,2304,1250,62.28,1,257800
28,5806,1106,2563,1497,80.4425,1,273400
39,854,218,389,228,78.125,1,237500
52,2155,451,895,613,64.4875,1,350000
34,5871,1118,2689,1789,71.015,1,335700
52,1509,336,674,244,123.265,1,313400
52,2026,428,709,456,81.8175,1,268500
52,1758,380,686,422,79.2275,1,259400
52,3481,689,1444,718,97.5,1,275700
28,3337,664,1520,802,97.6575,1,225000
52,1424,320,550,253,127.2925,1,262500
32,3809,748,1806,1022,66.0725,1,218500
26,3959,775,1749,1217,75.5825,1,255000
52,2376,491,939,519,78.71,1,224100
35,1613,354,675,422,86.805,1,243100
52,1279,294,534,291,78.5725,1,231600
28,5022,966,2558,1661,60.585,1,218500
52,4190,817,1786,1037,77.2425,1,234100
50,2515,516,970,373,146.49,1,327600
47,3175,634,1098,485,132.17,1,347600
41,2576,527,794,376,148.9,1,366100
37,334,125,98,47,124.1075,1,335000
52,2800,567,1061,403,158.585,1,373600
52,3529,698,1177,555,129.4325,1,389500
52,2612,533,901,367,180.885,1,391100
28,5287,1013,2031,956,136.425,1,337300
50,2935,591,1031,479,187.5,1,295200
44,3424,679,1358,597,150.485,1,292300
40,4991,960,1616,654,188.86,1,411500
30,2211,462,844,343,151.665,1,311500
34,3038,610,1140,496,176.37,1,325900
18,1617,355,533,194,290.0425,1,392600
35,2865,579,1072,443,187.205,1,319300
34,5065,974,1627,766,172.44,1,333300
28,1326,303,463,190,205.1225,1,335200
26,1589,350,542,211,210.025,1,351200
29,1791,386,661,269,171.345,1,368900
32,1835,394,635,263,207.925,1,365900
37,1229,285,420,176,175.4375,1,366700
39,3770,741,1265,500,158.255,1,362800
30,292,117,126,52,159.06,1,483300
52,2375,491,813,350,176.3725,1,331400
45,2964,597,1067,426,169.6275,1,323500
50,2833,573,1260,552,72.3225,1,216700
38,2254,469,951,487,77.03,1,233100
52,1389,314,510,224,131.005,1,296400
52,1971,418,765,308,163.0425,1,273700
52,2183,457,1129,460,81.58,1,227700
52,2286,475,1073,441,75.745,1,199600
52,2721,553,1185,515,113.57,1,239800
52,2024,428,756,340,101.8,1,270100
52,2944,593,1034,521,133.7725,1,302100
52,2033,430,787,459,79.0075,1,269500
52,1433,322,612,213,119.27,1,314700
52,2927,590,1021,380,203.91,1,390100
52,2315,480,861,258,221.9825,1,410300
52,2485,511,953,327,171.4775,1,352400
52,1490,332,634,256,150.755,1,287300
52,2814,570,878,352,187.7,1,348700
52,2093,440,918,483,68.6925,1,243800
52,888,224,360,175,54.86,1,211500
52,2087,439,1197,488,75.3725,1,218400
52,2513,516,1048,518,91.875,1,269900
46,3232,645,1373,747,80.625,1,218800
42,4120,804,1715,1015,73.3625,1,225000
43,2364,489,1359,722,53.5725,1,250000
41,1471,329,1062,413,40.3025,1,171400
29,2468,508,1335,773,34.8225,1,193800
27,1632,358,1171,429,57.9325,1,125000
45,1786,385,1475,460,44.43,1,97500
50,629,178,742,196,66.145,1,125000
52,1339,305,1086,363,54.525,1,138800
36,1678,366,1645,543,55.7575,1,116700
43,2344,485,1710,644,41.26,1,151800
52,996,244,731,228,56.7425,1,127000
52,1591,350,1118,347,53.9075,1,128600
52,1586,349,1006,335,53.37,1,140600
47,2046,432,1213,554,65.73,1,182700
52,1192,279,772,257,59.5825,1,146900
52,1803,388,1321,401,73.925,1,122800
49,2838,574,1487,677,63.095,1,169300
52,783,205,488,186,48.4375,1,126600
51,1590,350,949,392,47.57,1,127900
50,1746,378,1149,415,56.25,1,123500
52,1252,289,844,280,59.8225,1,111900
43,5963,1135,4367,1231,54.7925,1,112800
52,1783,385,1659,412,73.3925,1,107900
30,999,244,1011,263,47.135,1,137500
39,1469,328,1464,389,54.095,1,105500
47,1372,311,1237,303,53.125,1,95500
52,674,186,647,168,84.375,1,116100
43,1626,357,1284,357,56.355,1,112200
51,175,96,228,55,52.5,1,75000
39,461,148,381,123,40,1,112500
52,902,227,846,227,90.625,1,125000
20,2373,491,1659,676,42.3225,1,115000
52,391,135,520,138,41.1775,1,95000
52,1137,269,866,259,64.75,1,96400
52,769,203,612,183,64.25,1,72000
52,472,150,415,126,66.0725,1,71300
52,862,220,994,213,75.6425,1,80800
50,1920,409,1525,477,37.215,1,128800
43,1420,320,1506,438,48.345,1,112500
52,986,242,1008,255,37.11,1,119400
44,2340,485,2813,751,40.0225,1,118100
48,1696,369,1481,343,50.9375,1,122500
49,1175,276,859,219,57.325,1,106300
37,2343,485,1608,523,53.735,1,132500
30,610,174,425,140,40.495,1,122700
40,930,232,564,184,33.2025,1,113300
44,1487,332,961,272,87.89,1,109500
52,3424,679,2273,685,97.62,1,164700
52,762,202,600,195,77.2325,1,125000
46,2366,489,1647,527,65.105,1,124700
49,1826,392,1201,424,62.5,1,136700
38,3049,612,2167,659,69.9225,1,141700
29,1640,359,939,340,70.8025,1,150000
47,1543,342,859,292,73.9575,1,138800
34,2364,489,1517,516,70.9125,1,139200
35,1745,378,1143,386,71.875,1,143800
39,2003,424,1109,464,76.705,1,156500
39,2018,427,1221,446,76.8925,1,151000
43,3045,611,1115,455,123.8975,1,273000
52,1547,342,706,268,119.3025,1,217100
52,3519,696,1883,706,87.1525,1,187100
41,2070,436,804,340,127.96,1,239600
48,1321,302,506,252,102.4425,1,229700
48,1694,369,610,238,118.6,1,257300
46,1938,413,768,332,106.8175,1,246900
50,968,239,462,184,74.61,1,179900
40,1060,255,667,235,104.3475,1,169600
46,2041,431,1059,399,96.2175,1,203300
52,1813,390,637,277,100.285,1,263400
45,2718,552,1106,454,116.4075,1,231800
28,3144,629,1737,669,73.2425,1,140500
35,1802,388,1009,390,57.59,1,126000
49,882,223,737,210,66.6675,1,122000
44,1621,356,1354,491,65.475,1,134700
45,2115,444,1530,474,60.4175,1,139400
45,2021,427,1410,480,69.47,1,115400
46,2239,467,1390,569,68.38,1,137300
52,1477,330,1065,269,46.18,1,137000
52,1056,254,792,245,66.4575,1,142600
49,898,226,779,245,76.34,1,137500
44,2968,597,2269,610,59.765,1,111700
43,1702,370,1227,407,42.97,1,126800
47,881,223,753,241,65.625,1,111300
40,494,153,547,135,70.0375,1,114800
50,1776,383,1807,440,43.19,1,102300
44,1678,366,1700,495,52.0025,1,131900
51,1637,359,1543,393,62.225,1,119100
52,1420,320,1085,300,43.865,1,80600
52,591,171,353,137,102.26,1,80600
52,745,199,473,149,66.9125,1,88800
49,2272,472,1621,483,60.845,1,102400
46,1234,286,1183,354,58.2725,1,98700
43,1017,247,836,277,56.51,1,100000
42,932,232,900,263,45.0975,1,92300
39,2689,547,1888,537,56.405,1,94800
41,1547,342,1024,341,51.405,1,102000
52,2300,478,1225,423,88.495,1,158400
39,1752,379,1071,376,77.9175,1,121600
50,1867,400,1128,378,63.5025,1,129100
43,2430,501,1537,484,72.45,1,121400
44,1729,375,1240,393,57.8125,1,102800
52,1026,249,469,168,71.875,1,160000
52,2170,454,1086,425,84.2875,1,143900
52,2329,483,1144,417,87.785,1,151200
52,2492,512,1109,375,107.8125,1,164400
52,2198,459,984,369,80.5,1,156500
33,142,90,575,47,96.875,1,225000
49,1183,277,496,209,130.82,1,174200
52,1070,257,555,190,93.155,1,166900
45,1766,382,869,327,114.7325,1,163500
39,617,176,236,106,131.445,1,253000
41,1411,318,626,214,177.1875,1,240700
46,2109,443,922,329,99.28,1,208100
47,1229,285,582,256,73.785,1,198100
50,954,236,546,201,66.6675,1,172800
37,1643,360,620,266,136.115,1,336700
34,1355,308,442,195,157.095,1,318200
23,2317,481,955,328,168.8175,1,285800
24,2459,506,916,324,176.78,1,293000
22,12842,2369,4985,1967,149.6225,1,371000
42,1524,338,651,267,92.1875,1,157300
30,3326,662,1704,703,71.875,1,135300
43,1985,421,1085,407,85.5125,1,136700
50,1642,359,713,284,82.46,1,160700
49,893,225,468,181,96.875,1,140600
52,653,182,296,121,104.375,1,144000
47,1256,290,570,218,109.375,1,161900
48,977,240,446,180,119.27,1,156300
45,2324,482,968,384,89.3475,1,176000
39,1583,349,857,316,77.395,1,145800
39,1612,354,912,322,84.895,1,141900
31,2424,500,1360,452,46.775,1,90700
41,1594,351,1074,355,48.39,1,90600
47,2118,445,965,382,54.605,1,107900
37,1575,347,933,320,57.2925,1,107000
38,1764,381,987,354,60.8325,1,98200
50,1187,278,907,246,48.6975,1,89500
52,754,200,447,165,97.6575,1,93800
49,2308,479,1299,451,46.0175,1,96700
27,909,228,396,157,51.965,1,97500
42,1180,277,877,268,70.3125,1,97300
43,2018,427,1111,367,47.2825,1,91200
49,1368,310,790,269,42.64,1,91400
52,2744,557,1479,554,56.92,1,96200
51,2107,443,1173,438,81.38,1,120100
52,1748,378,1029,366,51.39,1,100000
52,2024,428,1030,350,61.6475,1,94700
47,1116,265,826,279,43.75,1,85700
41,2036,430,1412,454,51.1725,1,89300
45,1852,397,1132,349,67.8975,1,101400
41,921,230,522,159,30.2075,1,72500
45,995,243,630,237,48.125,1,74100
36,606,174,531,133,39.5225,1,70000
37,2680,546,1925,667,35.2425,1,84600
38,1493,333,1144,351,19.2075,1,81800
19,2207,461,1481,520,32.985,1,81400
28,856,218,435,162,20.03,1,81800
26,1293,297,984,303,48.6975,1,85800
36,847,217,567,159,29.4125,1,87100
42,541,162,380,123,58.64,1,83500
44,1066,256,825,244,53.845,1,79700
43,707,192,417,155,62.8475,1,83400
45,1528,339,801,287,31.5625,1,84700
42,909,228,646,198,72.6575,1,80000
43,1391,314,855,285,62.98,1,76400
44,548,163,435,136,52.7775,1,79700
42,4074,796,2736,780,61.375,1,82400
41,1613,354,1481,414,60.07,1,97700
47,463,148,327,137,53.75,1,97200
43,818,212,494,179,61.94,1,101600
43,1473,329,1231,341,53.9675,1,86500
35,504,155,323,109,46.095,1,90500
46,1026,249,749,225,75.745,1,107600
46,769,203,693,178,56.25,1,84200
46,2103,442,1339,354,56.1675,1,88900
45,330,124,282,80,101.1725,1,80700
46,941,234,621,195,33.125,1,87100
38,992,243,732,259,40.49,1,85100
45,990,242,901,260,54.3275,1,82000
36,1126,267,482,150,47.9175,1,82800
43,1036,251,652,213,51.725,1,84600
36,1047,253,651,166,42.8,1,82100
33,1280,295,999,286,64.0625,1,89300
43,1587,350,907,306,49.5525,1,98300
41,1257,290,828,230,62.6075,1,92300
44,1218,283,763,254,58.2025,1,88800
48,1751,379,935,349,35.9375,1,90000
45,2299,477,1437,484,62.805,1,95500
38,2457,506,1516,482,39.0625,1,91700
47,998,244,597,185,78.9675,1,100400
40,1685,367,949,342,46.065,1,94800
46,1827,393,881,302,116.74,1,164300
36,2781,564,1438,519,61.495,1,155500
39,1823,392,763,270,151.8725,1,196900
27,2229,465,1297,355,120.76,1,279100
34,1513,336,545,211,139.2525,1,252800
26,3266,651,1222,533,134.25,1,275400
33,1809,389,808,219,171.5,1,250000
28,794,207,329,109,192.3075,1,329800
36,690,189,299,109,100.7825,1,195500
33,1334,304,579,202,170.8075,1,255900
30,414,139,137,50,124.375,1,311100
36,768,203,229,93,134.005,1,330000
41,4400,854,1476,648,125,1,248900
46,954,236,429,154,73.125,1,142900
40,1445,324,849,255,97.2825,1,126300
44,1938,413,946,331,80.625,1,135800
41,856,218,571,191,78.645,1,130600
24,1790,386,1137,386,63.425,1,107900
44,617,176,378,135,63.92,1,111100
43,1383,313,853,272,87.7075,1,122000
49,1325,303,764,282,82.8125,1,118000
40,1227,285,928,261,45.5875,1,95200
35,667,185,406,133,95.1175,1,94300
34,1223,284,824,280,57.2925,1,92500
37,1379,312,835,259,62.405,1,91800
43,1534,340,826,295,101.0425,1,109400
46,1029,249,567,211,87.11,1,129500
52,771,203,355,144,103.645,1,143400
47,824,213,533,166,65.625,1,98200
44,1097,262,609,215,50.5675,1,103100
49,1283,295,576,236,83.3325,1,276800
52,1604,353,594,286,133.45,1,270900
52,2248,468,870,377,86.83,1,246200
38,2263,471,1027,509,87.8125,1,224200
52,1571,347,693,326,78.4375,1,229100
46,1520,338,815,375,70.09,1,211600
15,5083,977,2420,1146,114.56,1,256100
36,1077,258,518,276,75.52,1,206300
52,1248,289,620,275,102.1875,1,221300
42,1342,306,551,266,113.17,1,207400
37,3061,614,2556,924,43.4375,1,350000
52,3171,634,1498,696,79.4875,1,218200
50,1211,282,523,227,96.68,1,216700
52,979,241,374,153,129.1875,1,270600
52,2269,472,1004,371,129.24,1,261400
52,1844,396,769,334,106.535,1,261300
52,2178,456,940,423,126.3775,1,232200
42,1650,361,645,256,140.57,1,375400
52,1927,411,705,288,197.16,1,357300
52,2079,438,684,275,198.89,1,374400
52,1803,388,572,236,154.35,1,358800
52,2041,431,671,253,173.535,1,417500
52,3046,611,975,365,220.855,1,430500
52,2318,481,779,312,179.385,1,362900
52,2003,424,658,244,252.0625,1,397000
52,2261,471,819,335,122.7075,1,346800
52,1225,285,412,168,144.78,1,327100
52,2315,480,835,369,114.7325,1,290100
52,2070,436,722,306,135.4275,1,292000
52,2616,534,1085,487,103.125,1,270900
52,2640,538,973,355,181.65,1,371100
52,1978,420,723,272,134.9725,1,335600
37,2220,463,903,362,195.84,1,371300
41,1125,267,356,181,153.9825,1,344000
52,3078,617,1005,462,159.525,1,342200
52,3706,730,1205,504,167.07,1,370900
37,3000,603,987,450,188.4625,1,350000
42,2863,579,1031,448,167.845,1,368600
52,2551,523,894,404,156.0625,1,391800
52,2255,469,823,377,144.9475,1,415300
52,3360,668,1232,621,107.0325,1,284900
52,1693,369,669,367,88.5425,1,287500
44,2252,469,989,550,75.33,1,272900
52,2495,512,1058,464,103.5725,1,259600
52,1193,279,506,207,104.78,1,254500
52,1172,275,489,218,97.9175,1,235600
52,2159,452,824,388,97.2425,1,218400
48,2365,489,1034,475,77.6625,1,229200
46,1895,405,920,425,74.815,1,192100
52,1650,361,841,380,88.9,1,179300
45,453,146,749,137,36.875,1,187500
52,409,138,208,98,42.4275,1,138800
10,503,155,228,100,54.2625,1,150000
50,499,154,287,128,68.75,1,140600
52,477,150,218,106,64.205,1,120000
46,1647,360,854,355,72.5,1,144800
52,3123,625,1695,684,55.52,1,144800
52,957,237,403,172,80.86,1,245500
52,589,171,288,131,87.89,1,200000
49,2026,428,963,521,49.5125,1,173700
50,1829,393,1129,516,66.71,1,185600
52,895,225,386,204,96.875,1,182600
52,1909,407,811,406,75.15,1,227900
46,3022,607,1293,675,63.575,1,220700
46,1777,384,805,431,71.69,1,212000
52,2803,568,1372,876,54.7675,1,271400
30,1465,328,862,425,44.445,1,268800
37,2619,535,1152,616,63,1,277800
52,1149,271,483,249,106.97,1,332500
52,2363,489,1558,573,73.6,1,338900
52,2604,532,1798,769,43.125,1,287500
41,685,188,266,123,130.7225,1,384600
42,1756,380,2184,422,63.905,1,371400
52,1204,281,2016,477,23.725,1,350000
52,609,174,1349,250,29.24,1,500001
52,1087,260,3337,350,35.03,1,175000
52,2773,562,1721,949,29.6475,1,241700
35,3218,642,1675,1000,43.66,1,216700
49,1350,307,707,350,72.115,1,211300
52,3084,618,1424,694,68.43,1,210200
52,938,233,393,189,96.485,1,196400
52,1813,390,828,339,89.0625,1,191700
52,1233,286,571,292,56.97,1,182300
44,2539,520,1382,713,63.425,1,175000
46,1267,292,792,321,63.125,1,165900
52,1665,364,815,372,49.865,1,156900
52,1659,363,788,346,70.535,1,164300
52,2225,464,1145,430,65.4125,1,150000
50,2485,511,1354,563,48.7075,1,150500
52,2031,429,958,445,48.3175,1,169900
49,2932,591,1361,608,49.495,1,147400
52,2246,468,1005,449,60.4175,1,152700
49,2052,433,924,414,63.5425,1,182700
52,1999,423,780,358,84.765,1,179300
52,3007,604,1582,636,64.13,1,157700
41,2214,462,1213,568,57.1125,1,153100
52,1088,260,486,267,65.1775,1,250000
52,834,214,494,175,78.75,1,206300
52,1769,382,849,365,67.285,1,218800
52,2307,479,1127,548,46.1175,1,198200
35,5161,991,3276,1742,40.7675,1,253600
52,3497,692,1493,794,72.61,1,257400
52,3774,742,1461,679,73.5125,1,289500
52,2888,583,1253,538,84.7325,1,241700
48,2153,451,1656,459,76.0425,1,489600
52,1389,314,514,202,177.2425,1,446200
52,1709,371,719,295,126.1575,1,456300
52,1587,350,878,449,44.13,1,336800
52,1668,364,517,214,196.3025,1,500001
52,3726,733,1366,496,234.8975,1,500001
52,4048,791,1316,590,134.485,1,376900
52,3618,714,1508,755,81.5475,1,309600
52,4076,796,1800,815,67.635,1,182300
47,2077,437,719,326,56.0775,1,172700
50,1279,294,675,255,47.57,1,150800
52,1974,419,875,363,39.5425,1,153600
52,335,125,152,77,57.1025,1,106300
47,1375,312,843,319,34.4625,1,142300
52,610,174,281,132,72.545,1,119400
44,1025,249,506,204,43.25,1,147900
48,2063,435,1054,466,56.5625,1,132900
35,1872,401,1017,414,55.265,1,132500
52,3108,622,1623,765,67.4925,1,126900
14,7355,1384,3100,2051,100.045,1,143800
52,2990,601,947,361,196.93,1,500001
39,2492,512,808,315,296.5075,1,500001
42,2991,601,1018,335,337.475,1,500001
52,3242,646,1001,352,305.345,1,500001
52,3051,612,1005,369,204.68,1,466100
52,3494,692,1192,383,309.51,1,500001
52,1757,380,585,227,147.37,1,457800
52,2449,504,916,316,202.985,1,471600
52,1611,354,556,179,218.6925,1,500001
52,3665,722,1470,520,153.875,1,398600
52,2474,509,1104,398,147.075,1,340700
52,3037,610,1242,518,130.32,1,289900
52,2269,472,805,321,117.97,1,335300
52,1316,301,378,162,132.2875,1,333000
52,1153,272,481,223,66.0275,1,241000
52,772,203,409,160,83.035,1,189600
52,1711,372,885,373,91.0425,1,206300
52,2650,540,1468,567,75.4025,1,215700
52,1038,251,482,215,79.4275,1,210200
52,1527,339,825,264,86.3275,1,208800
52,859,219,429,158,107.745,1,197900
52,970,239,528,208,83.595,1,201300
52,1045,252,496,216,73.0325,1,190800
52,1408,317,718,265,67.015,1,207900
52,1222,284,630,265,94.27,1,215300
45,1169,275,723,286,98.61,1,212900
13,2020,427,959,486,131.5025,1,292700
30,4145,809,3668,855,63.61,1,275000
42,2038,430,2037,355,66.1175,1,200000
29,5154,990,3741,1273,64.405,1,173400
42,1241,288,821,300,48.5675,1,102200
52,1468,328,870,347,74.22,1,220800
27,3997,782,1901,966,93.75,1,242800
18,2873,580,1243,663,129.255,1,265400
50,1487,332,730,327,62.8475,1,219000
52,1670,364,793,299,74.33,1,282100
52,2252,469,1033,434,138.3425,1,372000
52,1731,375,872,363,104.1675,1,225800
52,1710,372,849,457,67.7875,1,220800
52,2388,493,1121,518,83.1725,1,234500
52,2156,452,872,445,81.7125,1,254200
52,1565,346,637,297,119.445,1,351800
52,1704,371,663,340,105.65,1,275000
52,1210,282,411,172,83.9275,1,405400
52,2097,441,915,413,74.7475,1,228100
52,1848,396,921,477,71.875,1,234000
43,955,236,585,266,59.705,1,162500
43,4329,842,2086,1053,74.375,1,243400
52,3011,605,1303,535,127.5975,1,273800
52,1049,253,374,176,103.645,1,248500
52,2504,514,979,472,86.905,1,244000
52,1846,396,827,446,67.0825,1,240900
52,1705,371,658,253,143.75,1,306300
50,1542,342,654,268,99.08,1,240000
45,891,225,384,146,123.7225,1,247100
27,4051,792,1499,797,121.7775,1,286600
52,2646,540,1128,522,76.795,1,266700
49,2428,500,1110,492,91.7975,1,229800
52,2567,525,1119,415,115.235,1,229300
21,7031,1326,2930,1235,113.0325,1,228400
25,1914,408,897,390,111.405,1,206200
5,18634,3408,7427,2718,190.275,1,350700
31,5785,1103,2973,1312,81.7225,1,231000
52,2876,581,1340,632,89.175,1,252900
28,6909,1304,2974,1484,92.1875,1,353900
23,5679,1084,2690,1151,119.2375,1,291700
20,1156,272,583,326,79.93,1,100000
12,14316,2633,5781,2007,181.585,1,341600
5,3596,710,1738,512,176.42,1,412500
36,3541,700,1478,529,115.875,1,248600
40,1808,389,746,270,132.5375,1,254900
36,2879,581,1235,455,124.5025,1,241500
26,3204,640,1411,484,137.085,1,295200
31,3866,758,1368,521,154.675,1,340400
32,2476,509,1048,367,140.485,1,274700
35,2211,462,1004,365,136.5975,1,238600
35,2663,543,1086,367,128.745,1,266400
30,2599,531,922,350,145.955,1,330200
36,4569,885,1950,819,116.25,1,206800
25,2973,598,1413,595,109.5475,1,209200
30,3115,624,1444,568,93.055,1,195800
31,1843,396,749,269,132.1375,1,253500
31,2053,433,867,329,108.4375,1,241800
27,6740,1274,2723,1035,130.3275,1,252500
30,1751,379,731,263,150.125,1,263900
38,1663,363,781,301,126.2975,1,227000
38,3716,732,1784,652,120.5925,1,220900
32,2718,552,1156,410,131.2425,1,259300
39,1420,320,645,277,103.125,1,232500
37,1893,404,821,315,115.0125,1,231600
33,3906,766,1912,770,87.9675,1,209400
32,3400,675,1487,694,75,1,223200
25,3402,675,1645,710,87.335,1,209900
33,4413,857,2239,1051,74.6525,1,208200
29,2304,478,1021,552,63.405,1,203800
36,2350,486,1105,467,82.5525,1,195700
31,5914,1126,2999,1295,77.41,1,190500
43,1575,347,740,284,71.28,1,181000
42,1414,319,629,244,83.695,1,184900
37,848,217,314,205,59.895,1,190800
15,3051,612,1479,668,88.2375,1,242200
20,4296,836,1732,800,120.09,1,188300
52,2898,585,1338,550,96.275,1,183500
52,1071,257,440,192,101.655,1,204200
51,2619,535,922,393,115.105,1,251900
49,1494,333,611,288,55,1,187500
52,2260,470,994,412,102.91,1,198200
52,1394,315,545,230,98.75,1,219000
52,1028,249,317,143,122.8375,1,275000
45,3758,739,1573,736,70.8875,1,245400
46,2163,453,925,435,81.25,1,177500
49,1699,370,768,385,70.7525,1,171600
52,1555,344,620,292,92.8975,1,183300
52,1114,265,425,207,64.0625,1,175000
45,1498,334,1003,305,95.1175,1,156700
45,726,195,519,135,84.375,1,157500
38,890,225,481,198,81.1,1,179800
36,2639,538,1209,519,100.67,1,205500
35,2562,525,1398,525,84.765,1,178900
36,361,130,158,58,138.6525,1,262500
42,3008,605,1817,664,84.275,1,165000
46,1369,310,766,289,88.2825,1,159700
5,1692,368,814,328,91.575,1,158300
38,1007,246,618,239,71.875,1,144800
43,3783,744,2139,789,100.505,1,166300
37,1507,335,632,253,113.8825,1,191000
36,666,184,366,134,86.6075,1,175000
10,2229,465,877,485,83.5775,1,137500
28,2215,462,830,573,54.745,1,141700
31,1616,355,739,379,72.7425,1,210900
47,1190,278,540,266,84.375,1,198300
29,4169,813,2024,962,70.3125,1,157400
52,2024,428,823,334,125,1,264700
38,1723,374,711,353,76.6825,1,218400
43,2264,471,931,368,95.3125,1,235100
33,1996,423,686,270,172.74,1,341800
26,2862,578,1030,397,197.8,1,367300
35,2183,457,976,392,95.9825,1,243500
35,1037,251,552,210,100,1,167900
25,1134,268,340,171,162.7375,1,371200
39,786,206,288,132,87.89,1,218900
45,1397,315,555,248,74.575,1,202700
45,2315,480,1006,444,88.1,1,186200
44,1613,354,776,346,77.7575,1,188900
44,1421,320,609,270,89.4525,1,180000
18,5778,1101,2441,1352,79.205,1,202700
27,3094,620,1364,789,65.2525,1,181700
18,3905,765,2197,1044,92.33,1,166800
43,3046,611,1333,544,86.4575,1,183700
19,3516,696,1810,703,97.58,1,218000
36,998,244,531,183,100.52,1,191500
36,1464,328,672,261,88.8675,1,194700
17,1463,327,695,330,114.6475,1,187200
21,4124,805,2162,998,65.8025,1,223100
17,2380,492,1216,643,84.875,1,271300
36,1266,292,606,239,99.255,1,194100
36,2239,467,1203,379,125.1075,1,190400
38,1571,347,874,301,111.6475,1,189100
38,1246,288,637,222,91.5625,1,184600
36,1501,334,703,276,97.16,1,197300
36,1468,328,733,229,86.4575,1,192600
36,1118,265,625,228,94.5325,1,192200
36,1097,262,568,225,74.7925,1,194600
36,1719,373,836,311,110.9375,1,193500
